City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Pimentel,PE,2021-07-24 18:35:06,-6.8367,-79.9342,71.89,75,75,5.99,broken clouds
60,Kodiak,US,2021-07-24 18:34:43,57.79,-152.4072,54.91,88,90,4.61,overcast clouds
61,Collie,AU,2021-07-24 18:35:08,-33.3667,116.15,53.98,94,58,7.14,broken clouds
62,Carutapera,BR,2021-07-24 18:35:10,-1.195,-46.02,79.2,85,100,9.26,overcast clouds
63,Hermanus,ZA,2021-07-24 18:34:28,-34.4187,19.2345,54.63,59,19,2.35,few clouds
64,Lorengau,PG,2021-07-24 18:31:06,-2.0226,147.2712,80.74,76,5,6.98,clear sky
65,Virden,US,2021-07-24 18:31:59,39.5009,-89.7679,92.05,68,5,8.93,clear sky
66,Port-Cartier,CA,2021-07-24 18:35:13,50.0334,-66.8654,65.75,62,1,8.43,clear sky
67,Leningradskiy,RU,2021-07-24 18:35:14,69.3833,178.4167,37.62,93,100,5.44,overcast clouds
68,Qaanaaq,GL,2021-07-24 18:35:15,77.484,-69.3632,41.76,65,95,0.31,overcast clouds
69,Arman,RU,2021-07-24 18:35:16,59.7,150.1667,53.8,95,100,4.25,overcast clouds
70,Port Hedland,AU,2021-07-24 18:34:53,-20.3167,118.5667,59.05,72,10,9.22,clear sky
71,Okha,RU,2021-07-24 18:35:18,53.5739,142.9478,60.98,99,95,9.86,overcast clouds
72,Majene,ID,2021-07-24 18:35:19,-3.5403,118.9707,74.88,90,27,10.0,scattered clouds
73,Anadyr,RU,2021-07-24 18:35:20,64.75,177.4833,55.9,100,90,5.99,light rain
74,Kloulklubed,PW,2021-07-24 18:35:21,7.0419,134.2556,82.9,79,100,6.04,overcast clouds
75,Chala,TZ,2021-07-24 18:35:24,-7.5833,31.2667,57.18,46,16,6.02,few clouds
76,Tasiilaq,GL,2021-07-24 18:35:25,65.6145,-37.6368,42.96,98,100,2.13,light rain
77,Narsaq,GL,2021-07-24 18:34:26,60.9167,-46.05,48.42,88,97,6.15,overcast clouds
78,Bonfim,BR,2021-07-24 18:35:27,3.0833,-59.95,88.29,56,85,7.76,overcast clouds
79,Adre,TD,2021-07-24 18:35:28,13.4667,22.2,75.07,78,100,6.89,overcast clouds
80,Arraial Do Cabo,BR,2021-07-24 18:35:29,-22.9661,-42.0278,76.96,57,0,24.16,clear sky
81,Sena Madureira,BR,2021-07-24 18:35:30,-9.0656,-68.6569,98.69,25,0,1.72,clear sky
82,Iqaluit,CA,2021-07-24 18:35:31,63.7506,-68.5145,51.53,81,90,13.0,light rain
83,Harper,LR,2021-07-24 18:35:33,4.375,-7.7169,76.41,69,93,5.84,overcast clouds
84,Sao Pedro Do Sul,BR,2021-07-24 18:35:34,-29.6206,-54.1789,83.05,54,26,5.14,scattered clouds
85,Verkhoyansk,RU,2021-07-24 18:35:35,67.5447,133.385,60.26,73,100,5.75,overcast clouds
86,Kachug,RU,2021-07-24 18:35:36,53.9606,105.8817,55.44,79,7,3.42,clear sky
87,Carahue,CL,2021-07-24 18:35:37,-38.7,-73.1667,53.8,60,100,4.43,overcast clouds
88,Pathein,MM,2021-07-24 18:35:38,16.7833,94.7333,79.12,92,100,7.16,overcast clouds
89,Mar Del Plata,AR,2021-07-24 18:35:03,-38.0023,-57.5575,53.01,64,0,15.99,clear sky
90,Plettenberg Bay,ZA,2021-07-24 18:35:39,-34.0527,23.3716,53.64,46,94,4.83,overcast clouds
91,Barrow,US,2021-07-24 18:35:02,71.2906,-156.7887,41.02,93,90,0.0,overcast clouds
92,Padang,ID,2021-07-24 18:35:41,-0.9492,100.3543,77.43,84,84,3.71,broken clouds
93,Hobart,AU,2021-07-24 18:34:22,-42.8794,147.3294,46.26,73,100,4.0,overcast clouds
94,Richards Bay,ZA,2021-07-24 18:35:43,-28.783,32.0377,56.43,76,58,4.05,broken clouds
95,Lumeje,AO,2021-07-24 18:35:45,-11.55,20.7833,67.42,33,0,6.02,clear sky
96,Hamilton,US,2021-07-24 18:34:14,39.1834,-84.5333,89.6,58,1,1.01,clear sky
97,Ribeira Grande,PT,2021-07-24 18:35:47,38.5167,-28.7,73.8,94,75,16.11,broken clouds
98,Cidreira,BR,2021-07-24 18:35:49,-30.1811,-50.2056,66.09,57,0,6.17,clear sky
99,North Bend,US,2021-07-24 18:35:50,43.4065,-124.2243,79.95,79,1,17.27,clear sky
100,Iranshahr,IR,2021-07-24 18:35:51,27.2025,60.6848,86.34,51,75,6.91,broken clouds
101,Road Town,VG,2021-07-24 18:35:52,18.4167,-64.6167,82.2,89,40,17.27,scattered clouds
102,Laguna,US,2021-07-24 18:34:30,38.421,-121.4238,101.43,42,1,1.01,clear sky
103,New Norfolk,AU,2021-07-24 18:35:54,-42.7826,147.0587,41.72,87,100,8.59,overcast clouds
104,Vila Velha,BR,2021-07-24 18:34:10,-20.3297,-40.2925,75.15,60,40,9.22,scattered clouds
105,Port Elizabeth,ZA,2021-07-24 18:35:56,-33.918,25.5701,57.49,72,0,11.5,clear sky
106,Robertson,US,2021-07-24 18:35:57,36.5167,-86.8667,93.72,56,1,0.0,clear sky
107,Touros,BR,2021-07-24 18:35:58,-5.1989,-35.4608,86.9,53,10,19.64,clear sky
108,Abaza,RU,2021-07-24 18:32:11,52.655,90.0928,64.29,97,100,3.38,light rain
109,Okakarara,NA,2021-07-24 18:36:00,-20.5833,17.4333,50.31,16,0,6.82,clear sky
110,Port Huron,US,2021-07-24 18:33:20,42.9709,-82.4249,87.15,80,40,10.0,scattered clouds
111,Upernavik,GL,2021-07-24 18:36:02,72.7868,-56.1549,39.45,88,100,5.86,overcast clouds
112,Vardo,NO,2021-07-24 18:32:24,70.3705,31.1107,46.31,84,100,28.05,overcast clouds
113,Lakatoro,VU,2021-07-24 18:36:05,-16.0999,167.4164,79.18,81,96,5.3,moderate rain
114,Half Moon Bay,US,2021-07-24 18:36:06,37.4636,-122.4286,87.82,68,20,5.75,few clouds
115,Dikson,RU,2021-07-24 18:31:43,73.5069,80.5464,38.64,95,100,27.72,overcast clouds
116,Bethel,US,2021-07-24 18:33:58,41.3712,-73.414,85.08,48,40,5.75,scattered clouds
117,Chokurdakh,RU,2021-07-24 18:36:08,70.6333,147.9167,39.22,79,7,14.14,clear sky
118,Hansi,IN,2021-07-24 18:36:09,29.1,75.9667,91.63,57,100,6.53,overcast clouds
119,Sciacca,IT,2021-07-24 18:36:10,37.5082,13.0881,86.04,52,0,3.49,clear sky
120,Olinda,BR,2021-07-24 18:36:11,-8.0089,-34.8553,76.73,61,40,16.11,scattered clouds
121,Riyadh,SA,2021-07-24 18:31:33,24.6877,46.7219,102.34,13,0,8.88,clear sky
