City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
158,Namibe,AO,66.27,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
159,Owando,CG,81.95,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
161,Souillac,MU,70.18,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
162,Gambela,ET,70.41,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
163,Singkang,MY,76.89,scattered clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
166,Dunn,US,87.35,clear sky,44.95,-91.8835,Cedar Falls Acres
167,Kindersley,CA,77.02,clear sky,51.4668,-109.1682,Kindersley Inn
171,Skagen,DK,67.89,scattered clouds,57.7209,10.5839,Ruth's Hotel
172,Qinhuangdao,CN,74.07,few clouds,39.9317,119.5883,Qinhuangdao Peninsula Seasons Hotel And Apartment
174,Vangaindrano,MG,65.62,overcast clouds,-23.35,47.6,Hotel Fanilo
176,Nova Soure,BR,74.32,broken clouds,-11.2333,-38.4833,Branca Hotel
178,Ponta Do Sol,PT,78.71,clear sky,32.6667,-17.1,Hotel do Campo
179,Quatre Cocos,MU,69.91,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
180,Desa,RO,70.59,clear sky,43.8667,23.0333,Pensiunea Balta Sârbilor
181,Kahului,US,79.86,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
182,Jiwani,PK,82.69,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
188,Acarau,BR,84.29,scattered clouds,-2.8856,-40.12,castelo pizzaria
190,Les Cayes,HT,86.95,overcast clouds,18.2,-73.75,Villa Orphee
192,Rio Grande,BR,78.91,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
194,Omboue,GA,73.62,broken clouds,-1.5746,9.2618,Hotel Olako
195,Poum,NC,71.91,clear sky,-20.2333,164.0167,Gîte kajeon
196,Itoman,JP,80.98,mist,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
197,Labuhan,ID,73.33,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
198,Pitsunda,GE,73.58,clear sky,43.1592,40.3378,Hotel FREEDOM
201,Manokwari,ID,78.22,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
203,Bachaquero,VE,86.7,overcast clouds,9.9694,-71.1494,casa de los dinosaurios
204,Chimbote,PE,67.42,scattered clouds,-9.0853,-78.5783,Hotel Viera Chimbote
205,Santa Rosa,PH,80.91,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
206,Campos Do Jordao,BR,72.95,clear sky,-22.7394,-45.5914,Canada Lodge Inn
208,Miranda,CO,69.93,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
217,Ha Noi,VN,82.4,scattered clouds,21.0245,105.8412,Sofitel Legend Metropole Hanoi
218,Inirida,CO,77.38,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
219,Shelburne,CA,69.76,moderate rain,44.0787,-80.2041,The Retreat at the Farm
221,Greensburg,US,84.94,scattered clouds,40.3015,-79.5389,Rodeway Inn
223,Andros Town,BS,85.96,overcast clouds,24.7,-77.7667,Hanks place
224,Mana,GF,81.05,moderate rain,5.6592,-53.7767,LE SAMANA
228,Adjumani,UG,66.92,light rain,3.3779,31.7909,Hotel Zawadi
230,Banda Aceh,ID,80.64,overcast clouds,5.5577,95.3222,Sulthan Hotel International
235,Torbay,CA,68.88,light rain,47.6666,-52.7314,Gallows Cove
236,Samarai,PG,79.11,broken clouds,-10.6167,150.6667,Nuli Sapi
237,Shaunavon,CA,79.75,clear sky,49.6501,-108.4181,Bear's Den Lodge
239,Sioux Lookout,CA,80.98,smoke,50.1001,-91.917,Knobby's Fly-In Camps
240,Caravelas,BR,74.53,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
241,Sharqpur,PK,87.93,few clouds,31.4633,74.1,Salim's Dental Clinic..Dr.Awais
243,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
244,Port Blair,IN,82.22,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
245,Kavieng,PG,81.32,light rain,-2.5744,150.7967,Nusa Island Retreat
246,Isabela,PH,80.65,overcast clouds,6.7085,121.9711,Isawad Resort
247,Svetlogorsk,BY,68.05,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
252,Lompoc,US,85.01,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
253,Esterhazy,CA,77.85,clear sky,50.65,-102.0843,Canalta Hotel Esterhazy
254,Savannah Bight,HN,87.85,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
255,Sinnamary,GF,81.7,heavy intensity rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
256,Arvika,SE,68.5,few clouds,59.6553,12.5852,Clarion Collection Hotel Bristol
257,Linhai,CN,76.93,moderate rain,28.85,121.1167,Linhai S&N International Hotel
258,Marsh Harbour,BS,78.57,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
259,Blagoveshchenka,RU,67.39,few clouds,52.8333,79.8667,"Gostinitsa ""Tsentral'naya"""
261,Pisco,PE,68.05,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
264,Varena,LT,68.65,broken clouds,54.2167,24.5667,"EKORATAS, UAB viešbutis Varėna"
265,Alofi,NU,71.49,clear sky,-19.0595,-169.9187,Taloa Heights
266,Dandong,CN,71.76,scattered clouds,40.1292,124.3947,Yiranju Farmstay
